Parsed result for candidate PRECINCTS COUNTED - TOTAL (000), no party, in race PRECINCTS COUNTED - TOTAL (0000) with 0 votes
Parsed result for candidate VOTERS (001), no party, in race REGISTERED VOTERS - TOTAL (0001) with 1514912 votes
Parsed result for candidate BALLOTS CAST (001), no party, in race BALLOTS CAST - TOTAL (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (002), NON party, in race BALLOTS CAST - Nonpartisan (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (003), DEM party, in race BALLOTS CAST - Democratic (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (004), REP party, in race BALLOTS CAST - Republican (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (005), GRN party, in race BALLOTS CAST - Green (0002) with 0 votes
Parsed result for candidate Carol Dudlack (Fiorina) (014), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Cheryl Simanek (Fiorina) (015), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Wayland C. Johnson (Kasich) (016), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Stephen E. Liehr (Kasich) (017), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Barbara J. Peterson (Kasich) (018), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate David P. Dersien (Carson) (019), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Douglas V. Horne (Carson) (020), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Philanise N. White (Carson) (021), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Kristi Delaurentiis (Rubio) (022), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Antonio Carrico (Rubio) (023), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Miriam Shabo (Rubio) (024), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Stephen J. Balich (Cruz) (001), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Jerry Randick (Cruz) (002), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Nancy Ann Powell-Hayes (Cruz) (003), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Thomas Beller (Christie) (004), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Patrick Hackett (Christie) (005), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Kathryn Meyer (Christie) (006), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate John Lynch (Trump) (007), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Cynthia Schaffer (Trump) (008), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Bob Anderson (Trump) (009), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Colleen Grant Schumann (Bush) (010), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Scott McPherson (Bush) (011), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Ian Brenson (Bush) (012), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Salvador ''Tony'' Godinez (Fiorina) (013), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Sharon Kubasak (Fiorina) (014), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Deborah ''Debbie'' Burzinski (Fiorina) (015), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Christine Radogno (Kasich) (016), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Sean M. Morrison (Kasich) (017), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Elizabeth Ann Gorman (Kasich) (018), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate John Pappas (Paul) (019), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Dan Mitchell (Paul) (020), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Harry W. Oryhon (Carson) (021), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Mark S. Zajac (Carson) (022), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Barbara F. Hoffman (Carson) (023), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Herb Schumann (Rubio) (024), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate Michael Lapidus (Rubio) (025), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate George Yukich (Rubio) (026), REP party, in race Delegate, National Convention 3rd REP (0177) with 0 votes
Parsed result for candidate G. Joel Baise (Bush) (001), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate George Offord (Bush) (002), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Ben Noble (Bush) (003), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Kimberly Blackburn (Christie) (004), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Louis G. Rexing (Christie) (005), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Matthew Moustakas (Christie) (006), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Vince Matonis (Trump) (007), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Geraldine Brady (Trump) (008), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Nena Mihailovic (Trump) (009), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Vivienne Porter (Cruz) (010), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Madelyn D. Flaherty (Cruz) (011), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Alaa N. Sweis (Cruz) (012), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Ronald Armstrong (Fiorina) (013), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Richard ''Dick'' Halm (Fiorina) (014), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Jeffrey ''Jeff'' Baker (Fiorina) (015), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate James J. Parrilli (Kasich) (016), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Andrew J. Kirchoff (Kasich) (017), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate William J. Corley (Kasich) (018), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Steven Daglas (Rubio) (019), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Katie Justak (Rubio) (020), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Tyler Mikan (Rubio) (021), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate John D. Brannen (Carson) (022), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate John D'Alessandro (Carson) (023), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Gael Heppner (Carson) (024), REP party, in race Alternate Delegate, Natl Conv 3rd REP (0178) with 0 votes
Parsed result for candidate Robert V. Boharic (Cruz) (001), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Ebelio Paul Fuentes (Cruz) (002), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Allison Ashby (Cruz) (003), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Amy Hopcian (Christie) (004), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Matthew Hickey (Christie) (005), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Randy Kantner (Christie) (006), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Kevin Jayne (Trump) (007), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Eric Sawchuk (Trump) (008), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Rolando Arellano (Trump) (009), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Maureen Lydon (Bush) (010), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Walter Zarnecki (Bush) (011), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Ramiro Gonzalez (Bush) (012), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Anna Igoe (Fiorina) (013), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Michael Houlihan (Fiorina) (014), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate James Kales (Fiorina) (015), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Michael C. Dropka (Kasich) (016), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Jesus Reyes Jr. (Kasich) (017), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Thomas A. Volini (Kasich) (018), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Maria C. Moreno (Rubio) (019), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Lionel Garcia (Rubio) (020), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Danielle Vlcek (Rubio) (021), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Jennifer E. Bardy (Carson) (022), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Dieter O. Bardy (Carson) (023), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Citlally Mancilla (Carson) (024), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Todd Peterson (Paul) (025), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Carlos Estrada (Paul) (026), REP party, in race Delegate, National Convention 4th REP (0179) with 0 votes
Parsed result for candidate Guadalupe Jose Flores (Cruz) (001), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Steven J. Jedd (Cruz) (002), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Michael S. Toleman (Cruz) (003), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Justin Krope (Trump) (004), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Diana Jayne (Trump) (005), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Richard Sawchuk (Trump) (006), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Glen Samson (Christie) (007), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Carol Kissane (Christie) (008), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Gerard M. Kraus (Christie) (009), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Jesus E. Solorio (Bush) (010), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Louis J. Rodriguez (Bush) (011), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Joseph Urani (Bush) (012), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Richard Beierwaltes (Fiorina) (013), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Helen Manson (Fiorina) (014), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Susan Chmelik (Fiorina) (015), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Timothy W. Heilenbach (Kasich) (016), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Vera A. Wilt (Kasich) (017), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Ann Melichar (Kasich) (018), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Karen Pulia (Rubio) (019), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Tom Tomschin (Rubio) (020), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Daniela Garcia (Rubio) (021), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Alejandrino Diaz Jr. (Carson) (022), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Welson Cesar (Carson) (023), REP party, in race Alternate Delegate, Natl Conv 4th REP (0180) with 0 votes
Parsed result for candidate Lauren Baker (Christie) (001), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Christopher M. Adams (Christie) (002), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Robert O'Malley (Christie) (003), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Chris Cleveland (Cruz) (004), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Sean O'Leary (Cruz) (005), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate James Strzalka (Cruz) (006), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate John M. Dorgan (Bush) (007), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Chris Nybo (Bush) (008), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate R. Stratford Shields (Bush) (009), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Kathleen Goro (Trump) (010), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Lori Gayne (Trump) (011), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Mark Fratella (Trump) (012), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Allen Carter (Fiorina) (013), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Mary Carter (Fiorina) (014), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Michael Golde (Fiorina) (015), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Daniel J. Cronin (Kasich) (016), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Dale E. Kleber (Kasich) (017), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Kayleen M. Carlson (Kasich) (018), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Christopher Grozev (Rubio) (019), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate A. Christine Svenson (Rubio) (020), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Mark Cavers (Rubio) (021), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Scott Davis (Paul) (022), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate James Babiarz (Paul) (023), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Ruben Chaljub (Paul) (024), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Christian C. Schultz (Carson) (025), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Walter L. Crowley (Carson) (026), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Robert J. Mowry (Carson) (027), REP party, in race Delegate, National Convention 5th REP (0181) with 0 votes
Parsed result for candidate Phyllis Demarco (Cruz) (001), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Sara Marie Lamantia (Cruz) (002), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Brad Messervey (Cruz) (003), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate James Ignatowski (Trump) (004), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Steve Bayne (Trump) (005), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Cathryn Biga (Trump) (006), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Angelo ''Skip'' Saviano (Bush) (007), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Amy S. Findlay (Bush) (008), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Ron Gidwitz (Bush) (009), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Heather E. Way Kitzes (Christie) (010), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Ashvin Lad (Christie) (011), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Alexander Doberstein (Christie) (012), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Scott Newhall (Fiorina) (013), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Lucinda ''Cindy'' Burke (Fiorina) (014), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Robert Bedell (Fiorina) (015), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Ryan P. McNicholas (Kasich) (016), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Paul A. Laliberte (Kasich) (017), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Richard J. Veenstra (Kasich) (018), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Jonathon H. Luers (Carson) (019), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Evan Jane Ellman (Carson) (020), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Laura M. Urbik Kern (Carson) (021), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Sophia Babiarz (Paul) (022), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Earon Shaw Rein (Paul) (023), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Sean T. Noonan (Rubio) (024), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Laura Mary Kotelman (Rubio) (025), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate William C. Beck (Rubio) (026), REP party, in race Alternate Delegate, Natl Conv 5th REP (0182) with 0 votes
Parsed result for candidate Carol Smith Donovan (Bush) (001), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Brian Timpone (Bush) (002), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Kathleen A. Thomas (Bush) (003), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Lora Drobetsky (Trump) (004), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Steve Trimble (Trump) (005), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate John Simpson (Trump) (006), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Laura Lewandowski (Christie) (007), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Stephanie Guyett (Christie) (008), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Douglas Guyett (Christie) (009), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate James Francis Zangrilli (Cruz) (010), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Kerrie Reed (Cruz) (011), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Joshua Hammer (Cruz) (012), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Carl Segvich (Santorum) (013), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Corinne Williams (Fiorina) (014), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Jeff Halm (Fiorina) (015), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Kathryn ''Kayte'' Malik (Fiorina) (016), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Nancy J. Kimme (Kasich) (017), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate William Dean Smithburg (Kasich) (018), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Kreg T. Allison (Kasich) (019), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Amanda B. Dechavez (Carson) (020), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Thomas Edward McDonough (Carson) (021), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Bruce John Schulte (Carson) (022), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Grace Austin (Paul) (023), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Alberta Grossi-Antweiler (Paul) (024), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Eloise Gerson (Rubio) (025), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Michael Rolfes (Rubio) (026), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Brendan Seyring (Rubio) (027), REP party, in race Delegate, National Convention 7th REP (0183) with 0 votes
Parsed result for candidate Aaron Brager (Trump) (001), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Janet Tavakoli (Trump) (002), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Daniel Conidi (Trump) (003), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Evan Andrew Feigenbaum (Bush) (004), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Gregory J. Hart (Bush) (005), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Mark S. Hosty (Bush) (006), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Suneet Lad (Christie) (007), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate William S. Zeiler (Christie) (008), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate William J. Zeiler (Christie) (009), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Michael Provenzano (Cruz) (010), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Matthew Limbert (Cruz) (011), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Wayne Heusel (Cruz) (012), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Jeffrey ''Jeff'' Durkes (Fiorina) (013), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Jennifer Koerner (Fiorina) (014), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Joseph ''Joe'' Dusek (Fiorina) (015), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Darlene Brown (Carson) (016), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Adrian J. Wright (Carson) (017), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Yvonne Franklin (Carson) (018), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Erin Broderick (Rubio) (019), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Thomas C. Cronin (Rubio) (020), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Eric Pulia (Rubio) (021), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Helene Marie Cissell (Kasich) (022), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Bruno H. Behrend (Kasich) (023), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Ellen Wesley (Kasich) (024), REP party, in race Alternate Delegate, Natl Conv 7th REP (0184) with 0 votes
Parsed result for candidate Tyrone Fahner (Bush) (001), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Muneer Ahmad Satter (Bush) (002), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Katherine Dold White (Bush) (003), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate J. Blair Garber (Cruz) (004), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Jeffrey Stewart Shapiro (Cruz) (005), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Jill Dolan (Cruz) (006), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Nickolas Neubauer (Trump) (007), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Linda Lucchese (Trump) (008), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Ryan McElrath (Trump) (009), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
Parsed result for candidate Gary Vandenbroucke (Christie) (010), REP party, in race Delegate, National Convention 9th REP (0185) with 0 votes
